channels,penalty,window_size,pelt_model,min_size_opt,min_size,seed,n_detected,location_error,ari,n_penalty,composite
all,3.0,15,rbf,window,15,48,1,13.5,0.5489713200964548,0.6666666666666667,0.6268189933815607
all,3.0,15,rbf,window,15,49,1,15.5,0.49666382957217303,0.6666666666666667,0.5886652481194199
all,3.0,15,rbf,window,15,50,2,20.0,0.3648344390741797,1.0,0.5624172195370898
all,3.0,15,rbf,window,15,51,3,9.916666666666668,0.667135617382248,0.6666666666666667,0.7074011420244573
all,3.0,15,l2,5,5,42,21,10.130952380952381,0.17844533707055393,0.0,0.32843695424956265
all,3.0,15,l2,5,5,43,24,9.4375,0.1494583659962225,0.0,0.3181041829981113
all,3.0,15,l2,5,5,44,20,9.6,0.18082741062168528,0.0,0.33281370531084264
all,3.0,15,l2,5,5,45,19,11.407894736842104,0.18186150594670755,0.0,0.32248338455230113
all,3.0,15,l2,5,5,46,22,10.227272727272727,0.15844782102383334,0.0,0.3178602741482803
all,3.0,15,l2,5,5,47,20,11.5,0.17856537984287132,0.0,0.32028268992143566
all,3.0,15,l2,5,5,48,19,9.855263157894736,0.18979596423798237,0.0,0.33576640317162276
all,3.0,15,l2,5,5,49,22,9.840909090909092,0.1662520143373681,0.0,0.3240805526232295
all,3.0,15,l2,5,5,50,24,9.354166666666666,0.16290525793390756,0.0,0.3253276289669538
all,3.0,15,l2,5,5,51,22,8.727272727272727,0.17791887272562718,0.0,0.3365957999991772
all,3.0,15,l2,10,10,42,11,9.113636363636363,0.3030659665640654,0.0,0.39685116510021456
all,3.0,15,l2,10,10,43,10,11.25,0.29257527909014863,0.0,0.37878763954507433
all,3.0,15,l2,10,10,44,11,11.75,0.2508968154448658,0.0,0.35494840772243286
all,3.0,15,l2,10,10,45,11,11.522727272727273,0.25840035318665344,0.0,0.3600638129569631
all,3.0,15,l2,10,10,46,10,10.6,0.3048449622038918,0.0,0.3888224811019459
all,3.0,15,l2,10,10,47,11,11.045454545454545,0.260901532433916,0.0,0.36417803894423073
all,3.0,15,l2,10,10,48,11,8.886363636363637,0.3030659665640654,0.0,0.3982148014638509
all,3.0,15,l2,10,10,49,11,9.068181818181818,0.3030659665640654,0.0,0.39712389237294177
all,3.0,15,l2,10,10,50,10,9.0,0.3236399920707502,0.0,0.4078199960353751
all,3.0,15,l2,10,10,51,11,9.5,0.2831284359838774,0.0,0.3845642179919387
all,3.0,15,l2,window,15,42,6,13.75,0.36650260631521714,0.0,0.40075130315760854
all,3.0,15,l2,window,15,43,7,9.892857142857142,0.39864456907434853,0.0,0.4399651416800314
all,3.0,15,l2,window,15,44,7,7.928571428571429,0.4437164893078913,0.0,0.47428681608251705
all,3.0,15,l2,window,15,45,7,12.107142857142858,0.3532169084895545,0.0,0.40396559710192004
all,3.0,15,l2,window,15,46,6,7.583333333333333,0.4798014422100345,0.0,0.49440072110501726
all,3.0,15,l2,window,15,47,7,9.892857142857142,0.4111471562337858,0.0,0.44621643525975
all,3.0,15,l2,window,15,48,7,7.928571428571429,0.4437164893078913,0.0,0.47428681608251705
all,3.0,15,l2,window,15,49,7,8.857142857142858,0.41885141453440766,0.0,0.45628285012434666
all,3.0,15,l2,window,15,50,8,8.75,0.3695386916476423,0.0,0.43226934582382115
all,3.0,15,l2,window,15,51,7,7.928571428571429,0.4299150514824824,0.0,0.4673860971698126
all,3.0,20,rbf,5,5,42,2,27.5,0.265841640884611,1.0,0.4679208204423055
all,3.0,20,rbf,5,5,43,2,22.5,0.4006747113014143,1.0,0.5653373556507071
all,3.0,20,rbf,5,5,44,4,12.5,0.5060277275467149,0.33333333333333337,0.5446805304400241
all,3.0,20,rbf,5,5,45,1,17.5,0.48687804298776866,0.6666666666666667,0.5717723548272178
all,3.0,20,rbf,5,5,46,2,22.5,0.4006747113014143,1.0,0.5653373556507071
all,3.0,20,rbf,5,5,47,4,10.625,0.5735102784283113,0.33333333333333337,0.5896718058808222
all,3.0,20,rbf,5,5,48,1,15.0,0.5228988572603626,0.6666666666666667,0.6047827619635147
all,3.0,20,rbf,5,5,49,1,12.5,0.5681159420289855,0.6666666666666667,0.642391304347826
all,3.0,20,rbf,5,5,50,1,37.5,0.12524461839530332,0.6666666666666667,0.27095564253098503
all,3.0,20,rbf,5,5,51,0,50.0,0.0,0.33333333333333337,0.06666666666666668
all,3.0,20,rbf,10,10,42,2,27.5,0.265841640884611,1.0,0.4679208204423055
all,3.0,20,rbf,10,10,43,2,22.5,0.4006747113014143,1.0,0.5653373556507071
all,3.0,20,rbf,10,10,44,4,12.5,0.5060277275467149,0.33333333333333337,0.5446805304400241
all,3.0,20,rbf,10,10,45,1,17.5,0.48687804298776866,0.6666666666666667,0.5717723548272178
all,3.0,20,rbf,10,10,46,2,22.5,0.4006747113014143,1.0,0.5653373556507071
all,3.0,20,rbf,10,10,47,4,10.625,0.5735102784283113,0.33333333333333337,0.5896718058808222
all,3.0,20,rbf,10,10,48,1,15.0,0.5228988572603626,0.6666666666666667,0.6047827619635147
