channels,penalty,window_size,pelt_model,min_size_opt,min_size,seed,n_detected,location_error,ari,n_penalty,composite
all,3.0,25,rbf,10,10,45,3,12.791666666666668,0.4089143121179022,0.6666666666666667,0.5610404893922845
all,3.0,25,rbf,10,10,46,2,17.0,0.3661505989359503,0.33333333333333337,0.4477419661346418
all,3.0,25,rbf,10,10,47,4,6.75,0.6618521119846539,1.0,0.7904260559923268
all,3.0,25,rbf,10,10,48,1,24.0,0.245235989386508,0.0,0.278617994693254
all,3.0,25,rbf,10,10,49,2,12.25,0.4824008724521426,0.33333333333333337,0.5343671028927379
all,3.0,25,rbf,10,10,50,1,25.5,0.21408625504188644,0.0,0.2540431275209432
all,3.0,25,rbf,10,10,51,2,16.5,0.40135984341197073,0.33333333333333337,0.468346588372652
all,3.0,25,rbf,window,25,42,2,11.5,0.4864473491427442,0.33333333333333337,0.5408903412380387
all,3.0,25,rbf,window,25,43,2,12.0,0.505807629815633,0.33333333333333337,0.5475704815744832
all,3.0,25,rbf,window,25,44,0,50.0,0.0,0.0,0.0
all,3.0,25,rbf,window,25,45,1,20.25,0.2865424677238885,0.0,0.3217712338619443
all,3.0,25,rbf,window,25,46,2,16.0,0.39808264751001493,0.33333333333333337,0.4697079904216741
all,3.0,25,rbf,window,25,47,0,50.0,0.0,0.0,0.0
all,3.0,25,rbf,window,25,48,1,24.0,0.245235989386508,0.0,0.278617994693254
all,3.0,25,rbf,window,25,49,2,12.25,0.4824008724521426,0.33333333333333337,0.5343671028927379
all,3.0,25,rbf,window,25,50,1,25.5,0.21408625504188644,0.0,0.2540431275209432
all,3.0,25,rbf,window,25,51,2,16.5,0.40135984341197073,0.33333333333333337,0.468346588372652
all,3.0,25,l2,5,5,42,20,5.475,0.34626410124412366,0.0,0.4402820506220618
all,3.0,25,l2,5,5,43,21,4.642857142857142,0.38544541771255375,0.0,0.464865565999134
all,3.0,25,l2,5,5,44,21,5.125,0.3383977425693348,0.0,0.43844887128466736
all,3.0,25,l2,5,5,45,19,5.171052631578947,0.36367462086379154,0.0,0.4508109946424221
all,3.0,25,l2,5,5,46,18,4.888888888888889,0.42241010927293815,0.0,0.4818717213031357
all,3.0,25,l2,5,5,47,18,5.0,0.3752863978553282,0.0,0.45764319892766414
all,3.0,25,l2,5,5,48,20,4.625,0.36389733020683274,0.0,0.45419866510341633
