channels,penalty,window_size,pelt_model,min_size_opt,composite_mean,composite_std,ari_mean,ari_std,location_error_mean,location_error_std,n_detected_mean,n_detected_std
residuals,4.0,30,l2,10,0.5941300171790631,0.09664955958104465,0.5814267010247931,0.10404739660882342,10.541666666666668,3.235902473007308,4.0,0.816496580927726
residuals,6.0,30,l2,10,0.5922404238886763,0.07814928247691309,0.5304475144440193,0.10714446180248445,13.275,4.195649201520811,3.2,1.2292725943057183
residuals,6.0,30,l2,5,0.5922404238886763,0.07814928247691309,0.5304475144440193,0.10714446180248445,13.275,4.195649201520811,3.2,1.2292725943057183
residuals,7.0,25,l2,10,0.5897076356414785,0.1314632858234861,0.5236886046162905,0.15732083199649086,14.245,6.83827869829503,2.9,1.3703203194062976
importance,8.0,15,l2,window,0.589495040953562,0.08527057459635448,0.4955034152404572,0.11501828943913281,15.265,5.083964441697486,3.0,1.0540925533894598
r2_only,5.0,20,l2,10,0.5891381882167817,0.07492219112021317,0.5106763764335633,0.06931457350527116,14.366666666666665,4.138646525342361,3.2,1.1352924243950933
importance,3.0,20,l2,window,0.5886522479520553,0.056736840081640365,0.5480211625707772,0.06712159081578478,12.004166666666666,2.548332939708809,3.7,0.6749485577105528
r2_only,4.0,25,l2,10,0.5877404706582807,0.11900639992574566,0.5364942746498947,0.12706114333914248,12.306666666666667,3.8214485651127728,3.7,1.3374935098492586
importance,8.0,30,l2,10,0.5856496896791169,0.10704173772913579,0.5235160460249004,0.15263487447434818,13.79583333333333,6.934171568363893,3.4,1.07496769977314
r2_only,6.0,25,l2,10,0.5849224430158152,0.10146232285150793,0.5083348860316304,0.09985588245841719,14.874166666666667,4.404000794031168,2.8,1.3165611772087666
residuals,5.0,30,l2,5,0.584373591871288,0.10677856462963714,0.5442138504092429,0.12041441494909756,12.4,4.221637386396684,3.7,1.1595018087284057
r2_only,7.0,20,l2,10,0.5843012353360434,0.09651394312471683,0.49468580400542006,0.11653118856411736,16.0625,5.583652906829955,2.6,1.07496769977314
residuals,3.0,25,rbf,window,0.5842300627269461,0.23192216228122983,0.48589345878722556,0.2391300963748186,18.675,12.691888266833182,1.5,0.8498365855987975
r2_only,7.0,25,l2,5,0.5838816396781803,0.10349980275330223,0.5120632793563604,0.09839668680415622,15.358333333333334,5.3551780641511275,2.7,1.636391694484477
residuals,8.0,25,l2,5,0.5837624568545157,0.11496595470661732,0.49105824704236467,0.1641551621407214,15.85,6.488183704071407,3.0,1.0540925533894598
residuals,3.0,20,rbf,5,0.5834136549513513,0.1501531821053221,0.47366064323603607,0.18862316422774683,17.791666666666668,9.36712632324106,2.3,1.0593499054713804
residuals,3.0,20,rbf,10,0.5834136549513513,0.1501531821053221,0.47366064323603607,0.18862316422774683,17.791666666666668,9.36712632324106,2.3,1.0593499054713804
no_jaccard,4.0,30,rbf,10,0.58328514405352,0.1846645007644452,0.49073695477370693,0.20806859651566706,18.125,9.917191862843254,1.6,0.9660917830792959
no_jaccard,4.0,30,rbf,5,0.58328514405352,0.1846645007644452,0.49073695477370693,0.20806859651566706,18.125,9.917191862843254,1.6,0.9660917830792959
r2_only,5.0,25,l2,10,0.582639259426384,0.09482362310130718,0.5075018521861012,0.09123944830034122,14.074166666666667,2.808261758621919,3.1,1.1972189997378648
residuals,3.0,20,l2,window,0.5821491106512143,0.07629585524368436,0.5612148879690952,0.09450571303958247,10.854166666666668,3.817411074905978,4.0,0.6666666666666666
residuals,5.0,25,l2,10,0.5805698512258021,0.11927840473255079,0.5055563691182707,0.13148431228484495,13.145833333333334,4.435374860631397,3.6,1.505545305418162
r2_only,7.0,25,l2,10,0.5800213203943106,0.10384724369457715,0.5078326407886212,0.10021414383298884,15.649166666666668,5.187470734708466,2.6,1.429840705968481
r2_only,5.0,25,l2,5,0.5790556302586894,0.09872080237965893,0.5298245938507122,0.11253410107522857,13.198333333333332,3.449858648025746,3.7,1.3374935098492586
fit_quality,6.0,20,l2,window,0.5789563551332251,0.04809923723114593,0.5680960435997836,0.05231908868282464,9.7375,1.777023494498596,4.2,0.4216370213557839
fit_quality,5.0,20,l2,window,0.5789563551332251,0.04809923723114593,0.5680960435997836,0.05231908868282464,9.7375,1.777023494498596,4.2,0.4216370213557839
fit_quality,7.0,20,l2,window,0.5789563551332251,0.04809923723114593,0.5680960435997836,0.05231908868282464,9.7375,1.777023494498596,4.2,0.4216370213557839
r2_only,3.0,30,l2,10,0.5788609783596756,0.06028879480279792,0.5392219567193512,0.0853708925322082,11.791666666666668,3.736085295243316,3.9,0.9944289260117533
residuals,6.0,25,l2,10,0.5788271423012503,0.11589488617334753,0.5082109512691673,0.13318025525051858,13.657499999999999,4.94123561607623,3.3,1.4944341180973264
r2_only,5.0,15,l2,window,0.5783039721867491,0.13289283207754599,0.48894127770683166,0.1728834123152,16.583333333333336,8.289979820970542,2.2,1.1352924243950933
all,3.0,15,rbf,5,0.5763070400722412,0.08623440428631944,0.4824140801444824,0.11942695799548873,17.483333333333334,5.361154288830156,1.9,1.1005049346146119
all,3.0,15,rbf,10,0.5763070400722412,0.08623440428631944,0.4824140801444824,0.11942695799548873,17.483333333333334,5.361154288830156,1.9,1.1005049346146119
r2_only,3.0,15,l2,window,0.5758445023194347,0.13644994868505583,0.5130956713055362,0.17705138694503014,14.561666666666667,8.39034589996072,3.0,1.247219128924647
