channels,penalty,window_size,pelt_model,min_size_opt,composite_mean,composite_std,ari_mean,ari_std,location_error_mean,location_error_std,n_detected_mean,n_detected_std
residuals,8.0,30,l2,5,0.6501778266471908,0.16397620399881974,0.5313723199610483,0.1645831062708536,10.3625,5.294602204132053,3.4,1.1737877907772671
fit_quality,3.0,15,l2,window,0.6499175564162982,0.08041708426375155,0.6278998747373585,0.08057983267028208,6.227619047619048,1.3924663450316692,5.9,0.7378647873726218
residuals,6.0,30,l2,5,0.6498616115103052,0.11559785260816349,0.5408494134968009,0.11824626618329183,8.982738095238094,2.950559540671672,4.4,1.429840705968481
r2_only,4.0,25,l2,10,0.6498058177113106,0.06653879726003259,0.5578116354226212,0.12506454248285867,8.183333333333334,3.1471082160384616,4.6,1.2649110640673518
residuals,5.0,25,l2,10,0.6497035177539578,0.0632217795020693,0.5672903688412492,0.08685014777779387,7.879166666666667,2.0271431655362298,4.9,1.286683937707919
importance,6.0,15,l2,10,0.6493340500372464,0.09552289512849041,0.5139814334078261,0.1444266870004743,10.165000000000001,4.5521494719324425,4.1,0.9944289260117533
r2_only,4.0,20,l2,window,0.6483656775777366,0.1305769948231637,0.5694813551554732,0.11815223056681207,9.395833333333334,3.983775448112965,2.8,0.7888106377466155
importance,6.0,15,l2,window,0.6473006966230268,0.12451845337568897,0.5328213932460535,0.13913591256913477,9.851666666666667,4.417195635689076,3.7,1.1595018087284057
r2_only,4.0,30,l2,5,0.647203169510034,0.14795993153980105,0.5495730056867347,0.17128318546627222,9.041666666666668,4.515619326430714,3.9,1.449137674618944
r2_only,5.0,30,l2,10,0.6468602739739919,0.1654028102841191,0.5713038812813174,0.17451757861235023,8.6875,4.5166124262152465,3.3,1.4944341180973264
fit_quality,6.0,30,l2,10,0.6455967610732973,0.08128854653035837,0.640229236432309,0.05062275033360548,5.752976190476191,0.7995871734190059,6.2,1.1352924243950935
fit_quality,3.0,30,rbf,10,0.6449122937155504,0.10023630970384112,0.5599245874311006,0.10160697630839961,9.175,2.7210740208896365,3.0,0.9428090415820634
fit_quality,3.0,30,rbf,5,0.6447546373383913,0.10252779829144754,0.5485259413434492,0.10907148903040392,9.3625,2.7686690935145566,3.1,0.9944289260117533
importance,5.0,30,l2,10,0.6443764900061786,0.10990847184584808,0.5934255990599763,0.10506740235583512,7.611607142857143,2.43623536635904,5.7,1.1595018087284057
importance,4.0,20,l2,10,0.6436555469858275,0.05348556114851199,0.5894015701621311,0.08919658242312126,7.396428571428572,1.9200039137914675,5.6,0.6992058987801011
r2_only,5.0,30,l2,5,0.6435713669532473,0.15058499810846707,0.5447594005731614,0.1698284757644257,9.245833333333334,4.389523951944146,3.5,1.35400640077266
fit_quality,3.0,25,rbf,5,0.642928276127045,0.07839157604854134,0.5437432189207566,0.08095895964019992,9.268333333333334,2.297196358849437,3.9,1.286683937707919
fit_quality,7.0,15,l2,window,0.6429220760265355,0.11180220540907629,0.5928460568149756,0.13638936233857132,7.805714285714285,4.36681941508701,5.2,1.3165611772087664
